2017/01/03 14:19:00 [I] [pay.go:77] [1] left GetWechatPayParams.
2017/01/03 14:19:00 [D] [pay.go:118] Get unified order:: request:: [map[mch_id:1399659602 goods_tag: notify_url:http://120.77.65.193:40011/v1/wechats/notification trade_type:NATIVE body:进销存系统短信充值平台 device_info: openid: product_id: nonce_str:nonce_str out_trade_no:20170103141900-1692 total_fee:20 spbill_create_ip:127.0.0.1 sign:2E34EF5A692978F99A0453ED57190A77 appid:wx6f18d544edaab59c attach:101 time_start: time_expire:]]
2017/01/03 14:19:00 [I] [pay.go:133] [1] left unifiedOrder.
2017/01/03 14:19:00 [I] [grpc_server.go:88] [20170103141900-1692] left GetSmsRechargePayNativeParams.
2017/01/03 14:33:13 [I] [grpc_server.go:68] [20170103143313-5101] enter GetSmsRechargePayNativeParams.
2017/01/03 14:33:13 [I] [pay.go:84] [1] enter unifiedOrder.
2017/01/03 14:33:13 [I] [pay.go:36] [1] enter GetWechatPayParams.
2017/01/03 14:33:13 [I] [official_accounts.go:44] [%v] enter ReadOfficialAccount.
2017/01/03 14:33:13 [I] [official_accounts.go:56] [%v] enter ReadOfficialAccount.
2017/01/03 14:33:13 [I] [pay.go:77] [1] left GetWechatPayParams.
2017/01/03 14:33:13 [D] [pay.go:118] Get unified order:: request:: [map[mch_id:1399659602 time_start: notify_url:http://120.77.65.193:40011/v1/wechats/notification appid:wx6f18d544edaab59c total_fee:20 spbill_create_ip:127.0.0.1 openid: product_id: sign:28F17EF30D72772D21A71CF4F12E7521 device_info: attach:101 out_trade_no:20170103143313-5101 time_expire: goods_tag: body:进销存系统短信充值平台 nonce_str:nonce_str trade_type:NATIVE]]
2017/01/03 14:33:14 [I] [pay.go:133] [1] left unifiedOrder.
2017/01/03 14:33:14 [I] [grpc_server.go:88] [20170103143313-5101] left GetSmsRechargePayNativeParams.
2017/01/03 14:34:04 [I] [grpc_server.go:68] [20170103143404-6610] enter GetSmsRechargePayNativeParams.
2017/01/03 14:34:04 [I] [pay.go:84] [1] enter unifiedOrder.
2017/01/03 14:34:04 [I] [pay.go:36] [1] enter GetWechatPayParams.
2017/01/03 14:34:04 [I] [official_accounts.go:44] [%v] enter ReadOfficialAccount.
2017/01/03 14:34:04 [I] [official_accounts.go:56] [%v] enter ReadOfficialAccount.
2017/01/03 14:34:04 [I] [pay.go:77] [1] left GetWechatPayParams.
2017/01/03 14:34:04 [D] [pay.go:118] Get unified order:: request:: [map[time_expire: product_id: sign:72476145F9BF8E5E155B8308B2DDDFDF device_info: attach:101 goods_tag: notify_url:http://120.77.65.193:40011/v1/wechats/notification trade_type:NATIVE nonce_str:nonce_str spbill_create_ip:127.0.0.1 body:进销存系统短信充值平台 mch_id:1399659602 total_fee:30 time_start: openid: appid:wx6f18d544edaab59c out_trade_no:20170103143404-6610]]
2017/01/03 14:34:04 [I] [pay.go:133] [1] left unifiedOrder.
2017/01/03 14:34:04 [I] [grpc_server.go:88] [20170103143404-6610] left GetSmsRechargePayNativeParams.
